url,text
https://www.uwc.ac.za/,"Home | UWC
NOTICE: This site uses cookies to enhance your experience on our website. We do not track, store or use any of your personal information without your explicit permission. To find out more, read our Privacy Policy, which incorporates the Cookie Policy."
https://www.uwc.ac.za/about/finance-and-operations/business-processing-and-procurement,"Business Processing | UWC
About Business Processing
The Business Processing unit comprises Procurement, Accounts Payable and Travel. 
Procurement maintains an ordered, efficient and accountable environment for the procurement of goods and services to effectively deliver on the University’s Mandate. 
Accounts Payable ensures and effects proper review and processing of payments to University vendors. 
The Travel section facilitates and ensures the efficient and compliant delivery of travel and related services to the campus community.
Accounts Payable 
This department is responsible for the processing of invoices and payments for trade and sundry invoices, staff reimbursement claims and travel in a timely, accurate and efficient manner. The payment of Sundry Vendors is effected via a division known as the Business Resource Centre.
We perform various checks on validity, accuracy and completeness of transactions and documentation to ensure that all the outflow of resources are adequately accounted for.
Telephone: 021 959 3399
Email: gpetersen@uwc.ac.za
Procurement
The Central Procurement division is part of the Business Processing unit. It is responsible for compliance and oversight over the procurement of goods and services for the university. The Central Procurement division also provides guidance and assistance to procurement staff from faculties, schools, departments and other units across the university on their procurement needs with the aim of providing responsive, consistent, high quality customer service. 
Procurement rules and procedures are guided by the UWC Procurement Policy as approved by the University Council. The Policy states that the university is committed to procure Goods and Services in a fair, transparent, efficient and cost-effective manner.
Telephone: 021 959 3399
Email: procurement@uwc.ac.za
UWC TERMS AND CONDITIONS
Director
Mr Jacob Thampi is responsible for the university’s decentralised procurement function, and the accounts payable function, including travel aspects of both of these. 
After obtaining his BComm Degree in Accounting, Mr Thampi joined Ernst and Young to complete his articles. He joined UWC as the Management Accountant in 2000, where he completed his BComm (Hons) and his Chartered Accountant board exam. 
Email: jthampi@uwc.ac.za"
https://www.uwc.ac.za/about/finance-and-operations/business-development,"Business Development | UWC
About Business Development
The Business Development team provides quality business and enterprise development advice, support and services to the UWC community. At Business Development, we concentrate on facilitating and supporting diversification of the UWC revenue base.
This office manages, amongst others, the academic venues and facilities through the Venue Management Office and the UWC commercial/rental property portfolio.
The team also assists on budget reviews for Continuing Education courses, management consulting projects, manages selected student accommodation units (River Park apartments), supports the Technology Transfer Office and UWC Innovations (Pty) Ltd on Intellectual Property (IP) commercialisation projects and deals.
The team is also engaged in the facilitation of numerous technology-led innovation initiatives from a commercial perspective which includes financial modelling and high tech business modelling. We have played roles in facilitating campus wide innovative projects and promote a culture of collaboration with people and organisations both inside and outside of the traditional academic sphere.
General Enquiries
Email: busdev@uwc.ac.za
Telephone: 021 959 2603
Tenant Portfolio Management
UWC’s property portfolio ranges from tenants at the Robert Sobukwe Road campus to tenants at the satellite campuses in Tygerberg, Mitchell's Plain and Bellville City Centre. The Business Development team manages the activities associated with lease negotiations, renewals, site inspections, meter readings, invoicing and debt collection, as well as representation on body corporate structures.
The team provides input and support on the retail components of any new UWC infrastructure project.
Telephone: 021 959 2603
Email: busdev@uwc.ac.za
Venue Management Office
The UWC Venue Management Office (VMO) oversees the allocation of teaching and lecture venues to meet the requirements established by the academic timetable of the university. This involves balancing the competing needs of classes and academics to find the right combinations of classes and venues to best serve the UWC stakeholders.
The VMO also assists student affiliated bodies and structures, and academic departments with venues allocations for meetings, workshops and seminars.
Various external parties often request use of UWC facilities and the VMO plays an important role to facilitate access to UWC facilities where the nature of the request is aligned with the teaching, research, scholarship and outreach ambitions of the university.
The VMO manages access to UWC facilities by companies for the purposes of corporate promotions (activations, flyers, posters, sound events) and film shoots.
Telephone: 021 959 3528/9467
Email: vmo@uwc.ac.za
Director
Mr Sujit Bhagattjee is responsible for the strategic management of third-stream income, corporate finance, transaction advisory services and venue management.
Mr Bhagattjee has a wealth of experience in generating revenues, property management, facilities management, property development, government relations, logistics, finance, governance and policy design. He has held many senior roles at ABSA, Transnet and PRASA and over the last decade was responsible for Transnet National Port Authority’s Business Development division, and Property Portfolio Manager in Gqeberha (Port Elizabeth).
Mr Bhagattjee is community oriented and serves as chair and committee member of various community and religious boards. He also serves as a committee member of various professional entities. 
Email: sbhagattjee@uwc.ac.za"
https://www.uwc.ac.za/about/finance-and-operations/centre-for-entrepreneurship-and-innovation,"Centre for Entrepreneurship and Innovation
Vision 
Our vision is to develop and grow entrepreneurial thinking and acting within all disciplines across campus, the city and nation. 
Mission
The University of the Western Cape’s Centre for Entrepreneurship and Innovation (CEI) exists to consolidate, coordinate and synergise entrepreneurship activities at UWC in order to: 
Highlight the successes of UWC more prominently with respect to current and future entrepreneurship-related activities
Fulfill a coordinating role for the current and new entrepreneurship related activities at UWC and external stakeholders
Fundraise and develop a long-term sustainable financial model for the Centre by developing projects in entrepreneurship
Provide the environment with a fellowship of support to new and existing entrepreneurs
Collaborate with national and international partners active in the area of entrepreneurship and entrepreneurship development
We encourage entrepreneurship across faculties and actively work to provide opportunities for students to market their businesses through market days and various pitching competitions. 
Publications
Humans of the CEI - Student Publication 2020
Humans of the CEI - Student Publication 2019
Humans of the CEI - Student Publication 2018
Humans of the CEI - Student Publication 2017
Contact Details
Physical address
Centre for Entrepreneurship and Innovation
Business Innovation Building
University of the Western Cape
Robert Sobukwe Road
Bellville
Tel: +27 21 959 9551
Team
Abraham Oliver
Position: Director
Biography:
Mr Abraham Oliver is the Director at the Centre for Entrepreneurship and Innovation (CEI), University of the Western Cape. 
Abraham is an incubator and Growthwheel specialist. He is further an experienced and professional SME practitioner both in the art and science of entrepreneurship. 
His experience spans over more than 25 years both in academia and SMME business modeling support. 
He was co-builder of False Bay College Centre for Entrepreneurship and Rapid Incubator (CFERI) for 6 years. He pioneered and designed both learning programmes and Mentoring & Business Advisory Support programmes for CFERI.
He further was part of a team that presented a framework for Service-Learning Model at HAN University in Holland.
Abe coordinated an International Dialogue program between TSiBA and North Eastern University (USA) in Boston for five years. Abe participated in a four-week Oklahoma State University (OSU) Professional Fellowship Program funded by the US Department of State.
Abe completed his Master’s in Development Studies (2016) at UWC. His Thesis focused on Social Entrepreneurship & Service-Learning approach to develop community small businesses. BEcon degree; BEcon (Hons) degree with focus on Business Management and Higher Diploma in Education (HDE) from University of Western Cape and Higher Diploma in Higher Education and Training (HDHET) from CPUT.
Abe is accredited Assessor & Moderator. W&R Seta qualifications in Informal Small Business Practice. Abe is also a certified Growth Wheel Advisor. He is further an assessor and moderator as well as accredited assessor to design & develop outcomes-based assessments plus learning programmes (ETDP_SETA).
Email: aoliver@uwc.ac.za
Wendy Mehl
Position: Enterprise Development and SMME Coordinator
Email: wmehl@uwc.ac.za
Rethabile Phorie
Position: Student Entrepreneurship Coordinator
Email: rphorie@uwc.ac.za
Visit the Centre for Entrepreneurship
The Centre for Entrepreneurship and Innovation has a number of programmes for students from any faculty to develop an entrepreneurial mindset toward either becoming entrepreneurs who run their own businesses or intrapreneurs who work innovatively within a company or other organisation. 
The main student programmes include: 
Design Sprints for developing new business ideas
Startup Sprints where ideas are further developed into viable business models
Grow Your Business to accelerate existing early-stage businesses
Enactus for Social Entrepreneurs to advance the sustainable development goals
Virtual Internships is an opportunity for real work experience with global start-ups and companies
EDHE Intervarsity is an annual pitching competition involving all 26 universities across South Africa
WearSA Fashion Incubator is an opportunity for students with businesses within the fashion industry to develop vital industry-related skills
In addition to the aforementioned programmes, there are also numerous other opportunities for students to take part in workshops, competitions and programmes advertised on behalf of our partners and the broader entrepreneurship ecosystem we are connected to.
The Centre for Entrepreneurship and Innovation has been actively involved in training over a thousand private sector business owners to date who would not be able to access the student entrepreneurship programmes. 
The main programmes include: 
eSkills Programme (NQF Level 5) is an accredited short course aimed at supporting SMMEs in their use of mobile technology to effectively run and grow their businesses. 
The Fellowship Programme is for the entrepreneurs who successfully completed the eSkills programme to further engage in networking opportunities and to enhance their skills through knowledge and peer to peer learning."
https://uwc-za.b-cdn.net/files/files/UWC-Humans-of-CEI-Web-2020.pdf,
https://uwc-za.b-cdn.net/files/files/UWC-CEI-2018-SE-Report-Web-Version.pdf,
https://uwc-za.b-cdn.net/files/files/UWC-CEI-2017-SE-Report--Web-Version.pdf,
https://uwc-za.b-cdn.net/files/files/ANNEXURE-UWC-General-TCs-SB-20022023.pdf,
https://uwc-za.b-cdn.net/files/files/UWC-CEI-2019-SE-Report-Web-Version.pdf,
https://www.uwc.ac.za/about/finance-and-operations/finance,"Finance | UWC
About Finance
The Finance Department is responsible for designing and implementing financial controls, policy and business process engineering that support the activities of UWC. This provides a financial framework to all parties mandated to transact on behalf of or with UWC. 
Grants and Contracts
The restricted fund comprises a variety of private gifts and grants received from donors and third parties. In general, Council and Management have less control over these funds but have a fiduciary responsibility to ensure that such funds are subject to the university’s internal controls, accounting systems and business processes, and used in accordance with the agreement with donors. 
Student Accounts
Student Accounts is responsible for the billing of services, processing of student account adjustments, processing of various student and staff rebates, student statements and quotation requests, student refunds and ensuring student accounts are accurate.
For a free fee quotation, please click on the following link https://quote.uwc.ac.za/default 
Telephone: 021 959 3558
Email: scm@uwc.ac.za
Student Credit Management
Student Credit Management manages the risk and recovery of Student Fee Income from current and non-current students. Student Credit management is also responsible for the administration and processing of the debit orders and methods of payment.
All payment and funding plans for payment of fees, registration clearance and graduation can be done via the UWC Student Credit Management portal: https://studentdebt.uwc.ac.za/
Telephone: 021 959 3558
Email: scm@uwc.ac.za
Director: Financial and Management Accounting
Mr Ismail Mohamed is responsible for, among other things, the financial accounting, management accounts, student debt collections as well as contracts and grants management. 
Email: ismohamed@uwc.ac.za ​
Director: Student Finances
Mr Che Muller is responsible for Student Accounts and Student Debt Collection. 
Email: camuller@uwc.ac.za​"
